Date,Name / Description,Card Type,Amount,Transaction vs category,Transaction,Category
22-Mar,STARBUCKS PURCHASE XX11250 WA,Debit Card,$6.75 ,STARBUCKS PURCHASE XX11250 WA - Coffee Shop,STARBUCKS PURCHASE XX11250 WA,Coffee Shop
23-Mar,MCDONALD'S PURCHASE XX11251 WA,Debit Card,$8.99 ,MCDONALD'S PURCHASE XX11251 WA - Fast Food,MCDONALD'S PURCHASE XX11251 WA,Fast Food
24-Mar,BURGER KING PURCHASE XX11252 WA,Transfer,$10.49 ,BURGER KING PURCHASE XX11252 WA - Fast Food,BURGER KING PURCHASE XX11252 WA,Fast Food
25-Mar,PANDA EXPRESS PURCHASE XX11253 WA,Debit Card,$13.25 ,PANDA EXPRESS PURCHASE XX11253 WA - Fast Food,PANDA EXPRESS PURCHASE XX11253 WA,Fast Food
26-Mar,UPS STORE PURCHASE XX11254 WA,Deposit,$22.95 ,UPS STORE PURCHASE XX11254 WA - Shipping Service,UPS STORE PURCHASE XX11254 WA,Shipping Service
27-Mar,DOMINO'S PIZZA PURCHASE XX11255 WA,Debit Card,$18.99 ,DOMINO'S PIZZA PURCHASE XX11255 WA - Pizza Restaurant,DOMINO'S PIZZA PURCHASE XX11255 WA,Pizza Restaurant
28-Mar,KROGER PURCHASE XX11256 WA,Transfer,$95.32 ,KROGER PURCHASE XX11256 WA - Grocery Store,KROGER PURCHASE XX11256 WA,Grocery Store
29-Mar,COSTCO WHOLESALE PURCHASE XX11257 WA,Debit Card,$245.67 ,COSTCO WHOLESALE PURCHASE XX11257 WA - Wholesale Club,COSTCO WHOLESALE PURCHASE XX11257 WA,Wholesale Club
30-Mar,FARMERS MARKET PURCHASE XX11258 WA,Deposit,$35.00 ,FARMERS MARKET PURCHASE XX11258 WA - Farmers Market,FARMERS MARKET PURCHASE XX11258 WA,Farmers Market
31-Mar,LOCAL GYM PAYMENT XX11259 WA,Transfer,$50.00 ,LOCAL GYM PAYMENT XX11259 WA - Gym Membership,LOCAL GYM PAYMENT XX11259 WA,Gym Membership
1-Mar,SPIN CLASS PURCHASE XX11260 WA,Debit Card,$25.00 ,SPIN CLASS PURCHASE XX11260 WA - Fitness,SPIN CLASS PURCHASE XX11260 WA,Fitness
2-Mar,YOGA CLASS PURCHASE XX11261 WA,Debit Card,$18.00 ,YOGA CLASS PURCHASE XX11261 WA - Fitness,YOGA CLASS PURCHASE XX11261 WA,Fitness
3-Mar,LIBRARY FINE PAYMENT XX11262 WA,Transfer,$2.50 ,LIBRARY FINE PAYMENT XX11262 WA - Library,LIBRARY FINE PAYMENT XX11262 WA,Library
4-Mar,DONATION PAYMENT XX11263 WA,Deposit,$100.00 ,DONATION PAYMENT XX11263 WA - Charity,DONATION PAYMENT XX11263 WA,Charity
5-Mar,CHURCH TITHING PAYMENT XX11264 WA,Transfer,$200.00 ,CHURCH TITHING PAYMENT XX11264 WA - Church,CHURCH TITHING PAYMENT XX11264 WA,Church
6-Mar,GRABHOLD PURCHASE XX11265 WA,Debit Card,$15.75 ,GRABHOLD PURCHASE XX11265 WA - Food Delivery,GRABHOLD PURCHASE XX11265 WA,Food Delivery
7-Mar,GAS STATION PURCHASE XX11266 WA,Debit Card,$48.23 ,GAS STATION PURCHASE XX11266 WA - Gas Station,GAS STATION PURCHASE XX11266 WA,Gas Station
8-Mar,THRIFT STORE PURCHASE XX11267 WA,Transfer,$22.99 ,THRIFT STORE PURCHASE XX11267 WA - Thrift Store,THRIFT STORE PURCHASE XX11267 WA,Thrift Store
9-Mar,FOOD TRUCK PURCHASE XX11268 WA,Debit Card,$12.50 ,FOOD TRUCK PURCHASE XX11268 WA - Street Food,FOOD TRUCK PURCHASE XX11268 WA,Street Food
10-Mar,LOCAL CAFE PURCHASE XX11269 WA,Deposit,$8.75 ,LOCAL CAFE PURCHASE XX11269 WA - Cafe,LOCAL CAFE PURCHASE XX11269 WA,Cafe
11-Mar,BOOKSTORE PURCHASE XX11270 WA,Debit Card,$34.99 ,BOOKSTORE PURCHASE XX11270 WA - Bookstore,BOOKSTORE PURCHASE XX11270 WA,Bookstore
12-Mar,MUSEUM ADMISSION PURCHASE XX11271 WA,Transfer,$20.00 ,MUSEUM ADMISSION PURCHASE XX11271 WA - Entertainment,MUSEUM ADMISSION PURCHASE XX11271 WA,Entertainment
13-Mar,ZOOM SUBSCRIPTION PAYMENT XX11272 WA,Debit Card,$14.99 ,ZOOM SUBSCRIPTION PAYMENT XX11272 WA - Software,ZOOM SUBSCRIPTION PAYMENT XX11272 WA,Software
14-Mar,TAXI RIDE PURCHASE XX11273 WA,Transfer,$28.50 ,TAXI RIDE PURCHASE XX11273 WA - Transportation,TAXI RIDE PURCHASE XX11273 WA,Transportation
15-Mar,AIRBNB STAY PURCHASE XX11274 WA,Debit Card,$175.00 ,AIRBNB STAY PURCHASE XX11274 WA - Accommodation,AIRBNB STAY PURCHASE XX11274 WA,Accommodation
16-Mar,FLIGHT TICKET PURCHASE XX11275 WA,Transfer,$325.00 ,FLIGHT TICKET PURCHASE XX11275 WA - Travel,FLIGHT TICKET PURCHASE XX11275 WA,Travel
17-Mar,HOTEL STAY PURCHASE XX11276 WA,Deposit,$189.99 ,HOTEL STAY PURCHASE XX11276 WA - Accommodation,HOTEL STAY PURCHASE XX11276 WA,Accommodation
18-Mar,RENT PAYMENT PAYMENT XX11277 WA,Transfer,"$1,500.00 ",,,
19-Mar,HOUSEHOLD SUPPLIES PURCHASE XX11283 WA,Debit Card,$45.67 ,HOUSEHOLD SUPPLIES PURCHASE XX11283 WA - Household,HOUSEHOLD SUPPLIES PURCHASE XX11283 WA,Household
